Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Artist Name(s),Album Release Date,Track Duration (ms),Track Preview URL,Explicit,Popularity,Artist Genres
spotify:track:1Mc1QqgB1TENCjA88CwBx6,Thunder,spotify:artist:2gsggkzM5R49q6jpPvazou,Jessie J,spotify:album:1d2u8egQLmE07acQGypt1P,Jessie J,1/1/2013,215840,https://p.scdn.co/mp3-preview/11f86ffd75ea7fc7dfb700229a6184e0cdd6e05a?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,8,"dance pop,pop"
spotify:track:2x9BavXrcqPKF0dHkrmkj6,Coming Home,spotify:artist:6VxCmtR7S3yz4vnzsJqhSV,Sheppard,spotify:album:18jAoHd0lR5tMaoqViNPMh,Sheppard,11/10/2017,218385,https://p.scdn.co/mp3-preview/cab2f8776c0344b85f6da3999ba77835fc62d568?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,47,"australian indie,australian pop,folk-pop"
spotify:track:2aFiaMXmWsM3Vj72F9ksBl,Cake By The Ocean,spotify:artist:6T5tfhQCknKG4UnH90qGnz,DNCE,spotify:album:7K89F9bgY1jks0uIlMerm3,DNCE,11/18/2016,219146,https://p.scdn.co/mp3-preview/f42a9a2157e1b4653ffe9c54c3bb9357c293ead6?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,0,"dance pop,pop"
spotify:track:0JqZAtfchMdhGOIhj6NNT5,Everywhere I Go,"spotify:artist:5K7qYCFk4J0A6m25hYP0fB, spotify:artist:604iqbiglyTgxMeKkvlBGc","QED, Jenny Morris",spotify:album:0934rpndVD3stgiOgyE18X,QED,1984,211800,https://p.scdn.co/mp3-preview/c30c9ff3f8cb18ab9a0e130b433111b3ee3514eb?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,21,classic nz pop
spotify:track:38TozZBUSqO5HA4ya6OxZr,Not An Addict,spotify:artist:1lO13Grp3I1AsIbcACRWvv,K's Choice,spotify:album:7u5VdkpJuSXEWxNq4PdXJ2,K's Choice,10/26/2009,288183,https://p.scdn.co/mp3-preview/82ce72e84c3c66f6688a4fe1151b95de65d86b91?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,41,"alternative pop,belgian rock,lilith"
spotify:track:0ZZCW0rSV1mEt5eKUamL9c,Cash in My Pocket (feat. Daniel Merriweather),"spotify:artist:7k9T7lZlHjRAM1bb0r9Rm3, spotify:artist:6HD2mo0Gz8wd8IbOXYwUfN","Wiley, Daniel Merriweather",spotify:album:6jyCINx0IQwks3MnchgcOR,Wiley,11/10/2008,179906,https://p.scdn.co/mp3-preview/1a83236cb000e276f4809b2649f174ed085b102e?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,30,"grime,uk dancehall,uk hip hop,australian pop"
spotify:track:0iINibMKtoS8duvexsqnm5,Tusk - 2015 Remaster,spotify:artist:08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,spotify:album:1d075yQcykHjerQ2BN0ABn,Fleetwood Mac,10/12/1979,217573,https://p.scdn.co/mp3-preview/2be0b25bb023158d1392ad5cc342ee5a5d0b8823?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,55,"album rock,classic rock,rock,soft rock,yacht rock"
spotify:track:44AauRai27QWKEx4dKn0oU,500 Miles Away from Home,spotify:artist:69wzuykaVXlRS5KVygESvd,Bobby Bare,spotify:album:06zl9w7hWWtjxFt76bMZEE,Bobby Bare,12/11/1963,162560,https://p.scdn.co/mp3-preview/bfe076b1dafc372f137d2bf5e0620a139ec829e4?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,45,"classic country pop,outlaw country"
spotify:track:1v0E30pA3wOBXuDxfsyOPa,Seventeen Forever,spotify:artist:7vXwfZyDp3spzIVNXDaTPN,Metro Station,spotify:album:2tZnyjZ6Orm55gE8bqJ3UG,Metro Station,9/18/2007,174133,https://p.scdn.co/mp3-preview/82af57548b0d2b961b7d63152ee920b4a560232f?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,39,"electropowerpop,neon pop punk,pixie,pop punk"
spotify:track:0vur7myNcfUymUt6mHhNZe,How You Remind Me,spotify:artist:6deZN1bslXzeGvOLaLMOIF,Nickelback,spotify:album:40AdpVZhtBTyvSn0MuGclz,Nickelback,11/1/2013,224173,https://p.scdn.co/mp3-preview/3c683a6011344de522cf71887448b70710f0bd56?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,51,"alternative metal,canadian rock,post-grunge"
spotify:track:0eQjA54TJkwTHDJKG8OkRg,Be Somebody,spotify:artist:2qk9voo8llSGYcZ6xrBzKx,Kings of Leon,spotify:album:5CZR6ljD0x9fTiS4mh9wMp,Kings of Leon,9/23/2008,227146,https://p.scdn.co/mp3-preview/44299c0a26093af5abcecb366431f78fb57a534f?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,49,"modern rock,rock"
spotify:track:2nYR8mMHG0ViIdHtS9hJ6w,Wasabi,spotify:artist:7eIoAymVZ9RQZidZgt4e7t,Lee Harding,spotify:album:2ur5tutx8q4cteH9Wnp6dt,Lee Harding,2/19/2006,180333,https://p.scdn.co/mp3-preview/804d2d2f6eb6f05c2767410592d855c5290ac454?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,26,australian talent show
spotify:track:30cSNer6TV8x2utjULVeQ5,SOS,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,Rihanna,spotify:album:2JdjS6jjOml7nt7Yjo0nnh,Rihanna,4/10/2006,238920,https://p.scdn.co/mp3-preview/02282f8a31c4610790c486aea7da19a655e0ae9d?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,76,"barbadian pop,pop,urban contemporary"
spotify:track:51PJ2iCdBMEfxtVk3iy4p1,You Da One - Album Version (Edited),spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,Rihanna,spotify:album:2g1EakEaW7fPTZC6vBmBCn,Rihanna,11/18/2011,200013,https://p.scdn.co/mp3-preview/4499f38d62ea74cc2b04fa2150195c085b2f57ab?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,36,"barbadian pop,pop,urban contemporary"
